"Incident.Type";"Complaint.Tracking.Number";"Date.Complaint.Occurred";"Date.Complaint.Received.by.NOPD..PIB.";"Date.Complaint.Investigation.Complete";"Complaint.classification";"Investigation.status";"Disposition";"Bureau.of.Complainant";"Division.of.Complainant";"Unit.of.Complainant";"Unit.Additional.Details.of.Complainant";"Working.Status.of.Complainant";"Shift.of.Complainant";"Rule.Violation";"Paragraph.Violation";"Unique.Officer.Allegation.ID";"Officer.Race.Ethnicity";"Officer.Gender";"Officer.Age";"Officer.years.of.service";"Complainant.Gender";"Complainant.Ethnicity";"Complainant.Age"
"776";"Public Initiated";"2016-0580-P";"";"8/31/2016 12:00:00 AM";"4/12/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"MSB - Management Service Bureau";"Administrative Duties Services";"Extended Sick";"Platoon A";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 03 - DEVOTING ENTIRE TIME TO DUTY";35473;"Black";"Male";NA;27;"";"";NA
"777";"Rank Initiated";"2016-0570-R";"8/28/2016 12:00:00 AM";"9/1/2016 12:00:00 AM";"10/25/2017 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"4th District";"3rd Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35384;"Black";"Female";32;12;"";"";NA
"778";"Rank Initiated";"2016-0579-R";"8/29/2016 12:00:00 AM";"9/2/2016 12:00:00 AM";"12/27/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Central Evidence & Property Section ";"Platoon A";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35426;"Black";"Female";45;18;"";"";NA
"779";"Rank Initiated";"2016-0586-R";"9/1/2016 12:00:00 AM";"9/6/2016 12:00:00 AM";"2/21/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"Special Operations Division";"Traffic Section";"DWI Unit";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35570;"Black";"Female";31;10;"";"";NA
"780";"Rank Initiated";"2016-0590-R";"9/6/2016 12:00:00 AM";"9/7/2016 12:00:00 AM";"11/22/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"1st District";"Staff";"Squad 1";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35774;"Black";"Male";25;4;"";"";NA
"781";"Rank Initiated";"2016-0590-R";"9/6/2016 12:00:00 AM";"9/7/2016 12:00:00 AM";"11/22/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"1st District";"Staff";"Squad 1";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";36678;"Black";"Male";34;18;"";"";NA
"782";"Rank Initiated";"2016-0590-R";"9/6/2016 12:00:00 AM";"9/7/2016 12:00:00 AM";"11/22/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"1st District";"Staff";"Squad 1";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";36680;"White";"Male";50;32;"";"";NA
"783";"Public Initiated";"2016-0578-P";"8/29/2016 12:00:00 AM";"9/7/2016 12:00:00 AM";"1/3/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"2nd District";"B Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35469;"Asian/Pacifi";"Male";46;14;"Female";"Black";56
"784";"Public Initiated";"2016-0587-P";"9/6/2016 12:00:00 AM";"9/7/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"C Platoon";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35602;"White";"Male";41;20;"Female";"White";58
"785";"Public Initiated";"2016-0589-N";"9/6/2016 12:00:00 AM";"9/7/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"3rd District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"NO VIOLATION OBSERVED";"";35654;"White";"Male";30;4;"Female";"White";20
"786";"Public Initiated";"2016-0592-P";"8/15/2016 12:00:00 AM";"9/8/2016 12:00:00 AM";"1/3/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"D.I.U.";"Squad 2";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35621;"Black";"Male";32;15;"Female";"Black";NA
"787";"Rank Initiated";"2016-0585-R";"";"9/8/2016 12:00:00 AM";"3/14/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"8th District";"D.I.U.";"Property";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";35493;"Black";"Male";NA;39;"";"";NA
"788";"Rank Initiated";"2016-0591-N";"8/25/2016 12:00:00 AM";"9/8/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"Unknown District/Division";"";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35517;"";"";NA;NA;"";"";NA
"789";"Rank Initiated";"2016-0596-R";"9/9/2016 12:00:00 AM";"9/9/2016 12:00:00 AM";"11/2/2017 12:00:00 AM";"DI-1";"Completed";"Other";"ISB - Investigative Services Bureau";"Crime Lab Division";"Crime Lab Section";"Support Staff";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 01 - REPORTING FOR DUTY";35545;"Black";"Male";30;12;"";"";NA
"790";"Public Initiated";"2016-0594-P";"9/7/2016 12:00:00 AM";"9/9/2016 12:00:00 AM";"";"DI-1";"Active";"Pending";"FOB - Field Operations Bureau";"Reserve Division";"D.I.U.";"Persons";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35633;"";"";NA;NA;"";"";NA
"791";"Public Initiated";"2016-0594-P";"9/7/2016 12:00:00 AM";"9/9/2016 12:00:00 AM";"";"DI-1";"Active";"Pending";"FOB - Field Operations Bureau";"Reserve Division";"D.I.U.";"Persons";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35692;"White";"Male";56;0;"";"";NA
"792";"Public Initiated";"2016-0595-P";"9/11/2016 12:00:00 AM";"9/12/2016 12:00:00 AM";"5/11/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35623;"White";"Male";23;4;"Female";"Black";NA
"793";"Public Initiated";"2016-0595-P";"9/11/2016 12:00:00 AM";"9/12/2016 12:00:00 AM";"5/11/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35640;"Black";"Male";56;19;"Female";"Black";NA
"794";"Public Initiated";"2016-0575-P";"8/29/2016 12:00:00 AM";"9/12/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"3rd District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35526;"Black";"Male";40;11;"Female";"Black";54
"795";"Public Initiated";"2016-0575-P";"8/29/2016 12:00:00 AM";"9/12/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"3rd District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35529;"White";"Male";29;5;"Female";"Black";54
"796";"Public Initiated";"2016-0575-P";"8/29/2016 12:00:00 AM";"9/12/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"3rd District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35524;"Hispanic";"Male";39;17;"Female";"Black";54
"797";"Public Initiated";"2016-0597-P";"8/21/2016 12:00:00 AM";"9/12/2016 12:00:00 AM";"1/5/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"3rd District";"A Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35578;"Black";"Male";40;16;"Male";"White";NA
"798";"Public Initiated";"2016-0600-P";"9/12/2016 12:00:00 AM";"9/12/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"8th District";"Staff";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35732;"Black";"Female";34;11;"Female";"Black";NA
"799";"Rank Initiated";"2016-0593-R";"9/5/2016 12:00:00 AM";"9/12/2016 12:00:00 AM";"9/6/2018 12:00:00 AM";"DI-1";"Completed";"Other";"ISB - Investigative Services Bureau";"Crime Lab Division";"Crime Lab Section";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35550;"Black";"Female";33;4;"";"";NA
"800";"Rank Initiated";"2016-0588-R";"9/7/2016 12:00:00 AM";"9/12/2016 12:00:00 AM";"2/15/2018 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"3rd District";"A Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35536;"Black";"Male";39;10;"";"";NA
"801";"Public Initiated";"2016-0601-P";"9/2/2016 12:00:00 AM";"9/13/2016 12:00:00 AM";"7/19/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"1st District";"B Platoon";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";35642;"Black";"Male";51;10;"Male";"White";NA
"802";"Public Initiated";"2016-0601-P";"9/2/2016 12:00:00 AM";"9/13/2016 12:00:00 AM";"7/19/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"1st District";"B Platoon";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";35644;"White";"Male";25;5;"Male";"White";NA
"803";"Public Initiated";"2016-0604-P";"9/12/2016 12:00:00 AM";"9/14/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"ISB - Investigations and Support Bureau";"Special Investigations Division";"Court Liaison";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35634;"Black";"Male";58;29;"Male";"Black";NA
"804";"Public Initiated";"2016-0603-N";"9/12/2016 12:00:00 AM";"9/14/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"Unknown District/Division";"";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35604;"";"";NA;NA;"Male";"Black";50
"805";"Rank Initiated";"2016-0605-D";"9/14/2016 12:00:00 AM";"9/14/2016 12:00:00 AM";"9/27/2016 12:00:00 AM";"DI-2";"Completed";"Other";"ISB - Investigative Services Bureau";"Crime Lab and Evidence Division";"Central Evidence & Property Section ";"";"Regular Working";"";"";"";35636;"Black";"Female";28;11;"";"";NA
"806";"Rank Initiated";"2016-0610-R";"9/15/2016 12:00:00 AM";"9/15/2016 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"4th District";"4th District";"Patrol";"Paid Detail";"Between 3pm-11pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 08 - Use of Alchohol/Drugs On Duty";35665;"Black";"Male";44;21;"";"";NA
"807";"Rank Initiated";"2016-0602-R";"";"9/15/2016 12:00:00 AM";"10/8/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"7th District";"Staff";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35757;"White";"Male";NA;4;"";"";NA
"808";"Public Initiated";"2016-0584-P";"8/31/2016 12:00:00 AM";"9/15/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Special Victims  Section";"Sex Crimes Platoon 1";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35591;"Black";"Female";38;17;"Female";"White";39
"809";"Public Initiated";"2016-0606-P";"9/15/2016 12:00:00 AM";"9/15/2016 12:00:00 AM";"12/21/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"3rd District";"A Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35600;"Black";"Male";58;20;"Female";"White";NA
"810";"Public Initiated";"2016-0607-P";"8/31/2016 12:00:00 AM";"9/15/2016 12:00:00 AM";"5/22/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"3rd District";"A Platoon";"";"Regular Working";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35663;"Black";"Female";33;15;"Male";"Black";NA
"811";"Public Initiated";"2016-0611-N";"9/2/2016 12:00:00 AM";"9/19/2016 12:00:00 AM";"12/27/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"Not - NOPD Officer";"Not Nopd";"";"Not - NOPD Officer";"Not - NOPD Officer";"Not - NOPD Officer";"";"";35657;"";"";NA;NA;"Female";"Black";39
"812";"Public Initiated";"2016-0614-P";"7/25/2016 12:00:00 AM";"9/19/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"1st District";"D.I.U.";"Property";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 02 - COURTESY";35655;"Black";"Male";33;11;"Female";"Black";50
"813";"Public Initiated";"2016-0615-P";"9/9/2016 12:00:00 AM";"9/19/2016 12:00:00 AM";"12/21/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"Night Watch";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35659;"Black";"Male";60;42;"Female";"Hispanic";NA
"814";"Public Initiated";"2016-0617-P";"9/19/2016 12:00:00 AM";"9/19/2016 12:00:00 AM";"10/20/2016 12:00:00 AM";"Mediation";"Completed";"Withdrawn - Mediation";"FOB - Field Operations Bureau";"2nd District";"Staff";"";"Regular Working";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35796;"Black";"Male";44;24;"Female";"Black";29
"815";"Public Initiated";"2016-0598-P";"9/4/2016 12:00:00 AM";"9/19/2016 12:00:00 AM";"10/26/2017 12:00:00 AM";"DI-2";"Completed";"Other";"FOB - Field Operations Bureau";"3rd District";"A Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35624;"Black";"Female";33;15;"Male";"Black";51
"816";"Public Initiated";"2016-0598-P";"9/4/2016 12:00:00 AM";"9/19/2016 12:00:00 AM";"10/26/2017 12:00:00 AM";"DI-2";"Completed";"Other";"FOB - Field Operations Bureau";"3rd District";"A Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35785;"Black";"Male";55;22;"Male";"Black";51
"817";"Rank Initiated";"2016-0612-R";"9/17/2016 12:00:00 AM";"9/19/2016 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"MSB - Management Service Bureau";"Administrative Duties Services";"Extended Sick";"APR Unit";"Limited Duty";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35680;"Hispanic";"Male";28;10;"";"";NA
"818";"Rank Initiated";"2016-0620-R";"9/15/2016 12:00:00 AM";"9/20/2016 12:00:00 AM";"12/19/2016 12:00:00 AM";"DI-2";"Completed";"Other";"";"Crime Lab and Evidence Division";"";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35755;"Black";"Female";28;11;"";"";NA
"819";"Public Initiated";"2016-0618-P";"9/15/2016 12:00:00 AM";"9/20/2016 12:00:00 AM";"4/12/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"1st District";"1st Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35811;"Black";"Female";35;10;"Female";"Black";31
"820";"Public Initiated";"2016-0619-P";"9/20/2016 12:00:00 AM";"9/20/2016 12:00:00 AM";"1/4/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"8th District";"Bourbon Promenade";"";"";"Between 7am-3pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 04 - DISCRIMINATION";35697;"Black";"Female";33;15;"Male";"White";57
"821";"Public Initiated";"2016-0599-P";"9/9/2016 12:00:00 AM";"9/21/2016 12:00:00 AM";"4/17/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"6th District";"D.I.U.";"Persons";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35690;"Black";"Male";28;9;"Female";"White";54
"822";"Public Initiated";"2016-0621-P";"9/18/2016 12:00:00 AM";"9/21/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"4th District";"1st Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35818;"White";"Male";30;6;"Female";"Black";52
"823";"Public Initiated";"2016-0609-P";"9/16/2016 12:00:00 AM";"9/21/2016 12:00:00 AM";"10/14/2016 12:00:00 AM";"Mediation";"Completed";"Withdrawn - Mediation";"FOB - Field Operations Bureau";"1st District";"1st Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35693;"Black";"Male";51;11;"Female";"Black";32
"824";"Public Initiated";"2016-0613-P";"9/19/2016 12:00:00 AM";"9/21/2016 12:00:00 AM";"12/14/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"1st District";"1st Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35694;"Black";"Male";53;22;"Male";"Black";53
"825";"Public Initiated";"2016-0613-P";"9/19/2016 12:00:00 AM";"9/21/2016 12:00:00 AM";"12/14/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"1st District";"1st Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35696;"Black";"Female";32;10;"Male";"Black";53
"826";"Rank Initiated";"2016-0623-R";"7/10/2016 12:00:00 AM";"9/22/2016 12:00:00 AM";"5/17/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"4th District";"3rd Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35861;"Black";"Male";54;31;"";"";NA
"827";"Rank Initiated";"2016-0625-R";"9/19/2016 12:00:00 AM";"9/23/2016 12:00:00 AM";"3/26/2018 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"6th District";"B Platoon";"Patrol";"Regular Working";"6:25PM-3:00AM";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35770;"White";"Male";37;19;"";"";NA
"828";"Rank Initiated";"2016-0627-R";"9/23/2016 12:00:00 AM";"9/24/2016 12:00:00 AM";"6/1/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"MSB - Management Service Bureau";"Administrative Duties Services";"Extended Sick";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35864;"Black";"Female";35;16;"";"";NA
"829";"Public Initiated";"2016-0628-P";"6/26/2016 12:00:00 AM";"9/26/2016 12:00:00 AM";"6/1/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"Unknown Bureau";"Unknown District/Division";"Unknown";"Unknown Assignment";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 05 - VERBAL INTIMIDATION";35867;"";"";NA;NA;"";"";NA
"830";"Public Initiated";"2016-0628-P";"6/26/2016 12:00:00 AM";"9/26/2016 12:00:00 AM";"6/1/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"Unknown Bureau";"Unknown District/Division";"Unknown";"Unknown Assignment";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 05 - VERBAL INTIMIDATION";40056;"Black";"Male";43;4;"";"";NA
"831";"Public Initiated";"2016-0628-P";"6/26/2016 12:00:00 AM";"9/26/2016 12:00:00 AM";"6/1/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"Unknown Bureau";"Unknown District/Division";"Unknown";"Unknown Assignment";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 05 - VERBAL INTIMIDATION";40057;"Black";"Male";34;12;"";"";NA
"832";"Public Initiated";"2016-0630-N";"10/17/2015 12:00:00 AM";"9/26/2016 12:00:00 AM";"11/23/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"Not - NOPD Officer";"Unknown District/Division";"Unknown";"Not - NOPD Officer";"Not - NOPD Officer";"Not - NOPD Officer";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";36356;"";"";NA;NA;"Female";"Race-Unknown";NA
"833";"Rank Initiated";"2016-0632-R";"";"9/26/2016 12:00:00 AM";"1/24/2019 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";35826;"Black";"Male";NA;17;"Male";"";NA
"834";"Public Initiated";"2016-0629-P";"";"9/26/2016 12:00:00 AM";"";"DI-1";"Active";"Pending";"FOB - Field Operations Bureau";"Unknown District/Division";"Bourbon Promenade";"Unknown Assignment";"Unknown Working Status";"Unknown Shift Hours";"RULE 6: OFFICIAL INFO";"PARAGRAPH 02 - FALSE OR INACCURATE REPORTS";35869;"Black";"Male";NA;27;"Male";"Black";NA
"835";"Public Initiated";"2016-0633-P";"";"9/26/2016 12:00:00 AM";"5/10/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"Office of the Superintendant";"Technology Section";"Administration";"Support Staff";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35881;"White";"Male";NA;22;"Female";"White";NA
"836";"Public Initiated";"2016-0608-P";"";"9/26/2016 12:00:00 AM";"3/20/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"Unknown Bureau";"Unknown District/Division";"Unknown";"Unknown Assignment";"";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";35772;"";"";NA;NA;"Female";"";NA
"837";"Public Initiated";"2016-0631-N";"9/23/2016 12:00:00 AM";"9/26/2016 12:00:00 AM";"11/23/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"1st District";"Staff";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";36291;"";"";NA;NA;"Female";"Race-Unknown";NA
"838";"Rank Initiated";"2016-0634-D";"9/26/2016 12:00:00 AM";"9/26/2016 12:00:00 AM";"10/11/2016 12:00:00 AM";"DI-2";"Completed";"Other";"FOB - Field Operations Bureau";"8th District";"B Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";36003;"Black";"Female";33;10;"Male";"Black";NA
"839";"Public Initiated";"2016-0622-P";"9/19/2016 12:00:00 AM";"9/27/2016 12:00:00 AM";"6/11/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"7th District";"Evening Watch";"NCIC Platoon B";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35752;"White";"Male";32;10;"Female";"Hispanic";NA
"840";"Public Initiated";"2016-0622-P";"9/19/2016 12:00:00 AM";"9/27/2016 12:00:00 AM";"6/11/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"7th District";"Evening Watch";"NCIC Platoon B";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";37732;"White";"Female";63;27;"Female";"Hispanic";NA
"841";"Public Initiated";"2016-0616-P";"";"9/28/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"4th District";"2nd Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35787;"Black";"Female";NA;21;"Female";"Black";NA
